"FeatureCode","DateCode","Measurement","Units","Value","Indicator..municipal.waste."
"S12000030","2010/2011","Count","Kg Per Capita",579,"Waste Arisings Per Capita (Kg)"
"S12000030","2004/2005","Count","ktonnes",24.6,"Biodegradable Municipal Waste Sent To Landfill (Ktonnes)"
"S12000030","2011/2012","Count","Kg Per Capita",584,"Waste Arisings Per Capita (Kg)"
"S12000030","2005/2006","Count","ktonnes",24.3,"Biodegradable Municipal Waste Sent To Landfill (Ktonnes)"
"S12000030","2008/2009","Count","ktonnes",18.3,"Biodegradable Municipal Waste Sent To Landfill (Ktonnes)"
"S12000030","2008/2009","Count","Kg Per Capita",606,"Waste Arisings Per Capita (Kg)"
"S12000030","2006/2007","Count","ktonnes",22.1,"Biodegradable Municipal Waste Sent To Landfill (Ktonnes)"
"S12000030","2009/2010","Count","Tonnes",51429,"Waste Arisings (Tonnes)"
"S12000030","2008/2009","Count","Tonnes",53506,"Waste Arisings (Tonnes)"
"S12000029","2004/2005","Count","Tonnes",204205,"Waste Arisings (Tonnes)"
"S12000029","2009/2010","Count","Tonnes",189864,"Waste Arisings (Tonnes)"
"S12000030","2004/2005","Count","Tonnes",60610,"Waste Arisings (Tonnes)"
"S12000030","2010/2011","Count","Tonnes",52051,"Waste Arisings (Tonnes)"
"S12000030","2011/2012","Count","Tonnes",52973,"Waste Arisings (Tonnes)"
"S12000030","2006/2007","Count","Kg Per Capita",650,"Waste Arisings Per Capita (Kg)"
"S12000030","2007/2008","Count","Tonnes",54858,"Waste Arisings (Tonnes)"
"S12000030","2006/2007","Count","Tonnes",57086,"Waste Arisings (Tonnes)"
"S12000030","2005/2006","Count","Tonnes",59813,"Waste Arisings (Tonnes)"
"S12000033","2006/2007","Count","Kg Per Capita",683,"Waste Arisings Per Capita (Kg)"
"S12000033","2009/2010","Count","ktonnes",55.7,"Biodegradable Municipal Waste Sent To Landfill (Ktonnes)"
"S12000033","2009/2010","Count","Kg Per Capita",580,"Waste Arisings Per Capita (Kg)"
"S12000030","2005/2006","Count","Kg Per Capita",691,"Waste Arisings Per Capita (Kg)"
"S12000030","2007/2008","Count","Kg Per Capita",622,"Waste Arisings Per Capita (Kg)"
"S12000030","2007/2008","Count","ktonnes",19.8,"Biodegradable Municipal Waste Sent To Landfill (Ktonnes)"
